station_id,latitude,longitude,population,capacity,zone_id,Acres,Persons Per Acre ,capacity per 1000
3329,40.6829151,-73.99318208,4383,27,3007500,69.88,62.7,6.16
3047,40.6823687,-73.944118,2770,21,3026900,33.1,83.7,7.58
285,40.73454567,-73.99074142,5224,53,1006100,35.17,148.5,10.15
3255,40.75058535,-73.99468482,2058,19,1010300,42.66,48.2,9.23
314,40.69383,-73.990539,4172,39,3000900,39.88,104.6,9.35
465,40.75513557,-73.98658032,117,39,1011300,43.4,2.7,333.33
254,40.73532427,-73.99800419,6380,59,1006300,44.03,144.9,9.25
349,40.71850211,-73.98329859,3397,61,1001200,29.8,114,17.96
380,40.73401143,-74.00293877,6215,42,1007300,40.85,152.1,6.76
3554,40.7552433,-73.9485678,,27,4003700,105.28,0,
406,40.69512845,-73.99595065,4259,34,3000301,53.11,80.2,7.98
3590,40.6679411,-73.9588,6405,19,3032500,41.62,153.9,2.97
293,40.73020661,-73.99102628,2781,55,1005700,26.7,104.2,19.78
442,40.746647,-73.993915,3040,51,1009500,42.49,71.5,16.78
486,40.7462009,-73.98855723,2277,41,1007600,43.06,52.9,18.01
312,40.722055,-73.989111,3393,31,1003601,24.66,137.6,9.14
3360,40.7829391,-73.9786517,6564,25,1016700,48.56,135.2,3.81
494,40.74734825,-73.99723551,5224,66,1009700,43.19,121,12.63
150,40.7208736,-73.98085795,2189,54,1002202,13.86,157.9,24.67
3589,40.7668,-73.9347774,2975,19,4004500,54.46,54.6,6.39
3459,40.75763228,-73.96930575,7316,34,1009800,43.75,167.2,4.65
308,40.71307916,-73.99851193,1264,27,1002700,14.78,85.5,21.36
504,40.73221853,-73.98165557,16538,53,1004400,101.42,163.1,3.2
477,40.75640548,-73.9900262,117,59,1011300,43.4,2.7,504.27
3658,40.74353373,-74.00367558,5708,27,1008900,40.91,139.5,4.73
3530,40.7787185,-73.9145645,2552,19,4010100,42.69,59.8,7.45
3167,40.77966809,-73.98093045,9623,55,1015900,43.47,221.4,5.72
3709,40.73804614,-73.99642959,8047,51,1008100,43.07,186.8,6.34
3374,40.799484,-73.955613,25,36,1014300,726.47,0,1440
3521,40.7987859,-73.9523,7556,36,1021600,42.8,176.5,4.76
476,40.74394314,-73.97966069,8664,47,1007200,43.25,200.3,5.42
482,40.73935542,-73.99931783,8047,77,1008100,43.07,186.8,9.57
238,40.7361967,-74.00859207,4442,31,1007900,72.48,61.3,6.98
223,40.73781509,-73.99994661,5429,33,1007100,40.77,133.2,6.08
3164,40.7770575,-73.97898475,10751,67,1015700,45.07,238.5,6.23
3420,40.6802133,-73.98432695,1530,21,3011900,163.52,9.4,13.73
3148,40.77565541,-73.95068615,12444,31,1013800,45,276.5,2.49
523,40.75466591,-73.99138152,117,51,1011300,43.4,2.7,435.9
536,40.74144387,-73.97536082,8871,29,1007000,43.82,202.4,3.27
3576,40.6767,-73.969024,4310,27,3020700,34.29,125.7,6.26
479,40.76019252,-73.9912551,8554,31,1012100,44.02,194.3,3.62
355,40.71602118,-73.99974372,6398,43,1002900,68.83,93,6.72
251,40.72317958,-73.99480012,4270,27,1004300,36.88,115.8,6.32
354,40.69363137,-73.96223558,5628,23,3019300,66.65,84.4,4.09
331,40.71173107,-73.99193043,11367,27,1000600,62.73,181.2,2.38
347,40.728846,-74.008591,2447,35,1003700,101.28,24.2,14.3
3289,40.79017948,-73.97288918,9151,32,1017700,43.13,212.2,3.5
416,40.68753406,-73.97265183,3936,31,3018100,41.72,94.3,7.88
3258,40.75018156,-74.00218427,5224,37,1009700,43.19,121,7.08
3427,40.72430527,-73.99600983,4270,40,1004300,36.88,115.8,9.37
368,40.73038599,-74.00214988,5461,39,1006700,41.63,131.2,7.14
389,40.71044554,-73.96525063,3122,27,3054900,48.21,64.8,8.65
441,40.756014,-73.967416,7316,40,1009800,43.75,167.2,5.47
144,40.69839895,-73.98068914,4247,19,3002300,44.97,94.4,4.47
3581,40.6740123,-73.9671457,4310,27,3020700,34.29,125.7,6.26
436,40.68216564,-73.95399026,3454,27,3022700,59.49,58.1,7.82
3078,40.70924826,-73.96063149,3499,27,3052500,30.99,112.9,7.72
3235,40.75216528,-73.97992194,3262,31,1008200,42.6,76.6,9.5
3141,40.76500525,-73.95818491,8767,59,1011800,43.68,200.7,6.73
359,40.75510267,-73.97498696,1806,64,1009200,48.69,37.1,35.44
167,40.7489006,-73.97604882,5377,45,1008000,42.66,126,8.37
325,40.73624527,-73.98473765,7229,35,1004800,43.43,166.5,4.84
3430,40.71907891,-73.9422369,3318,25,3047700,54.19,61.2,7.53
3244,40.73143724,-73.99490342,5401,42,1005900,28.71,188.1,7.78
3518,40.808442,-73.9452087,2644,34,1022200,44.83,59,12.86
3175,40.77748046,-73.98288594,9623,31,1015900,43.47,221.4,3.22
3298,40.686371,-73.99383324,3537,23,3006900,44.25,79.9,6.5
383,40.735238,-74.000271,5429,39,1007100,40.77,133.2,7.18
82,40.71117416,-74.00016545,4869,27,1002500,33.05,147.3,5.55
161,40.72917025,-73.99810231,6202,35,1006500,49.7,124.8,5.64
2006,40.76590936,-73.97634151,25,49,1014300,726.47,0,1960
2012,40.739445,-73.976806,11740,36,1006600,43.17,271.9,3.07
540,40.74311555,-73.98215353,8664,30,1007200,43.25,200.3,3.46
3256,40.72771408,-74.01129574,2447,23,1003700,101.28,24.2,9.4
3259,40.74937024,-73.99923384,5224,27,1009700,43.19,121,5.17
